medium_0,1,32.67,0,20.61,0,20.67
medium_1,0,20.95,2,20.85,0,20.54
medium_2,0,21.01,0,20.55,0,20.71
medium_3,0,20.91,0,20.32,0,21.4
medium_4,1,21.21,1,21.02,1,21.32
medium_5,0,20.68,2,21.05,3,21.96
medium_6,1,21.47,1,20.67,4,23.56
medium_7,1,20.95,0,20.53,0,21.06
medium_8,2,21.45,0,20.32,4,22.21
medium_9,0,21.06,0,20.44,0,21.11
medium_10,0,20.86,0,20.45,0,20.7
medium_11,1,22.32,5,22.22,1,20.81
medium_12,1,20.78,0,20.62,0,21.31
medium_13,2,20.84,3,20.84,4,21.95
medium_14,0,20.81,2,20.72,0,20.81
medium_15,1,20.88,1,20.77,2,23.43
medium_16,0,20.77,0,20.55,0,20.9
medium_17,1,21.02,2,21.15,2,21.94
medium_18,4,22.67,1,20.39,0,21.46
medium_19,0,20.93,1,21.05,0,21.25
medium_20,0,20.86,1,20.36,2,22.48
medium_21,0,21.48,0,20.5,1,20.95
medium_22,0,20.91,1,20.75,0,21.23
medium_23,0,21.0,0,20.52,1,21.57
medium_24,2,21.59,0,20.9,1,21.34
medium_25,1,20.86,3,20.84,1,21.6
medium_26,1,21.41,4,22.15,0,20.87
medium_27,0,21.01,1,20.63,2,21.72
medium_28,1,21.31,1,20.64,1,21.31
medium_29,0,20.84,0,20.28,1,20.91
medium_30,2,20.91,0,20.39,0,21.09
medium_31,1,21.09,1,20.92,2,22.01
medium_32,0,21.08,1,20.44,2,20.71
medium_33,3,22.72,0,20.77,1,21.51
medium_34,0,20.74,0,20.57,1,21.06
medium_35,2,21.12,0,20.51,3,21.21
medium_36,0,20.8,3,21.46,1,21.09
medium_37,2,21.38,0,21.06,4,21.78
medium_38,0,20.95,1,20.76,3,21.96
medium_39,0,20.85,0,20.42,2,20.96
medium_40,0,21.03,0,20.36,4,24.17
medium_41,0,20.86,2,20.78,2,22.0
medium_42,1,21.05,4,23.17,0,20.98
medium_43,0,21.13,3,21.14,2,21.73
medium_44,0,21.03,1,20.87,0,20.72
medium_45,1,21.0,0,20.7,2,20.61
medium_46,0,20.97,0,20.36,1,21.42
medium_47,0,21.01,1,20.77,0,21.05
medium_48,2,20.92,1,20.97,3,21.95
medium_49,2,21.5,0,20.29,2,21.2
medium_50,3,21.93,0,20.5,4,21.96
medium_51,2,21.95,1,20.98,6,23.65
medium_52,0,20.74,1,20.55,1,21.23
medium_53,1,20.9,1,20.37,1,22.32
medium_54,0,20.86,1,20.32,0,20.85
medium_55,2,21.1,0,20.63,0,20.71
medium_56,0,20.96,0,20.44,0,21.17
medium_57,0,20.91,0,20.23,0,20.75
medium_58,2,21.9,0,20.47,2,21.72
medium_59,1,20.95,0,20.57,0,20.68
medium_60,3,21.47,0,20.54,3,23.07
medium_61,4,23.11,0,20.61,0,21.08
medium_62,2,20.86,3,21.02,2,21.6
medium_63,2,20.85,0,20.49,1,21.19
medium_64,2,20.97,0,20.32,1,21.08
medium_65,4,22.88,1,21.72,1,21.2
medium_66,1,21.03,0,20.38,0,20.75
medium_67,1,21.07,0,20.68,0,20.71
medium_68,2,21.54,3,21.29,0,20.97
medium_69,0,20.92,4,21.21,1,20.75
medium_70,2,21.31,2,20.6,0,20.94
medium_71,0,20.69,1,20.76,0,20.63
medium_72,2,21.39,0,20.51,3,21.59
medium_73,0,34.37,0,21.23,0,20.78
medium_74,1,20.91,0,20.6,1,20.96
medium_75,1,20.77,1,20.91,4,22.07
medium_76,1,20.9,0,20.72,0,20.95
medium_77,1,20.75,0,20.59,2,21.06
medium_78,1,21.81,1,20.4,0,20.83
medium_79,1,21.5,0,20.56,0,20.9
medium_80,0,21.05,1,20.23,0,20.75
medium_81,0,21.0,0,20.53,2,21.99
medium_82,0,21.03,0,20.96,1,20.94
medium_83,3,22.8,0,20.89,2,21.32
medium_84,0,20.96,1,20.72,1,20.94
medium_85,0,20.99,4,23.07,1,21.11
medium_86,0,21.18,1,20.45,2,21.69
medium_87,1,21.19,0,20.41,0,21.23
