medium_0,0,20.51,0,20.32,3,20.75
medium_1,0,20.66,0,20.35,0,20.84
medium_2,0,20.89,2,21.6,1,20.6
medium_3,0,20.94,0,20.74,3,22.03
medium_4,0,21.21,0,20.42,0,20.86
medium_5,0,20.66,2,22.92,0,21.01
medium_6,0,20.66,0,20.24,0,20.66
medium_7,0,20.71,0,20.57,0,20.68
medium_8,1,23.02,3,20.9,0,20.79
medium_9,0,20.64,1,20.84,1,21.5
medium_10,2,22.24,2,20.68,0,20.57
medium_11,0,20.64,1,20.48,0,20.84
medium_12,0,20.8,0,20.49,1,20.91
medium_13,1,21.22,1,20.54,0,20.67
medium_14,1,21.15,0,20.56,0,20.76
medium_15,2,20.94,1,20.73,2,21.08
medium_16,0,20.88,1,20.51,3,21.33
medium_17,4,22.32,1,20.87,3,23.57
medium_18,0,20.83,2,20.69,5,22.01
medium_19,0,20.79,2,21.02,1,20.67
medium_20,0,20.9,1,20.6,0,20.95
medium_21,1,20.9,0,20.33,3,21.18
medium_22,0,20.83,0,20.29,2,21.08
medium_23,1,21.23,1,20.67,0,20.67
medium_24,0,21.97,1,20.36,2,20.97
medium_25,1,22.65,0,20.57,0,20.68
medium_26,0,21.12,0,20.59,1,21.23
medium_27,2,22.01,2,20.67,1,20.68
medium_28,1,21.47,1,20.62,0,20.65
medium_29,2,21.45,1,20.94,4,22.0
medium_30,0,20.62,1,20.39,0,20.71
medium_31,1,20.71,0,20.41,1,20.79
medium_32,0,20.77,3,21.34,1,21.05
medium_33,1,32.24,2,21.05,0,20.83
medium_34,0,20.77,0,20.6,0,20.52
medium_35,0,21.41,2,21.0,0,20.78
medium_36,1,20.78,0,20.31,1,20.79
medium_37,0,20.89,0,20.48,2,20.95
medium_38,1,20.9,1,21.26,0,21.2
medium_39,1,21.23,1,20.56,0,20.97
medium_40,0,20.96,0,20.43,1,21.16
medium_41,0,20.67,2,20.59,0,20.55
medium_42,0,20.73,0,20.23,0,20.66
medium_43,0,21.01,1,20.79,2,22.5
medium_44,0,21.03,0,20.45,0,20.64
medium_45,3,21.29,2,20.72,0,21.06
medium_46,7,23.86,0,20.35,0,20.74
medium_47,0,20.76,1,20.51,0,20.73
medium_48,0,20.79,0,20.28,0,20.48
medium_49,0,20.8,1,20.7,1,21.4
medium_50,3,21.44,0,20.85,0,20.76
medium_51,1,21.26,2,21.32,0,20.84
medium_52,1,21.37,0,20.41,0,21.14
medium_53,1,21.2,4,22.79,0,20.59
medium_54,1,21.15,0,20.28,1,21.38
medium_55,3,21.72,0,20.46,0,20.7
medium_56,0,21.05,0,20.54,2,20.97
medium_57,1,21.16,2,20.73,0,20.62
medium_58,0,20.91,0,20.31,2,20.98
medium_59,2,20.74,2,20.87,0,20.69
medium_60,0,20.95,1,20.58,1,21.51
medium_61,2,21.67,0,20.43,1,21.06
medium_62,2,21.87,1,20.74,0,20.96
medium_63,2,21.19,0,20.43,0,20.87
medium_64,0,21.15,1,20.59,0,20.57
medium_65,3,21.16,0,20.4,0,20.77
medium_66,1,21.15,0,20.44,1,20.82
medium_67,0,20.85,0,20.89,0,20.39
medium_68,1,20.78,1,20.35,1,20.95
medium_69,0,20.85,1,21.07,1,21.13
medium_70,1,21.83,2,21.25,2,21.06
medium_71,2,21.46,1,20.55,2,21.45
medium_72,1,21.38,0,20.68,0,20.96
medium_73,0,20.7,0,21.5,0,20.71
medium_74,0,20.82,6,21.55,0,20.72
medium_75,0,21.09,1,20.53,0,23.37
medium_76,0,21.32,0,23.45,3,21.27
medium_77,1,23.75,0,20.43,0,21.24
medium_78,0,24.02,1,20.65,0,21.15
medium_79,0,21.43,5,24.2,1,21.44
medium_80,0,20.89,0,22.83,1,21.18
medium_81,0,21.18,0,23.29,0,21.43
medium_82,1,21.22,2,21.98,0,22.04
medium_83,0,21.09,0,20.64,3,26.43
medium_84,0,21.0,0,20.72,0,23.52
medium_85,0,23.36,2,20.84,0,21.21
medium_86,1,23.94,0,20.53,1,21.48
medium_87,0,21.22,1,23.11,0,21.03
medium_88,0,20.53,1,21.45,0,20.5
medium_89,1,23.37,1,20.93,1,25.09
medium_90,0,20.91,0,23.52,1,21.52
medium_91,5,21.74,0,20.73,0,22.87
medium_92,1,21.72,2,21.44,3,24.98
medium_93,0,21.01,0,20.58,2,24.07
medium_94,0,22.35,1,21.23,0,24.61
medium_95,0,20.79,2,22.89,1,21.48
medium_96,1,21.15,0,21.38,1,21.63
medium_97,2,21.37,0,20.55,2,21.08
medium_98,0,21.24,2,20.51,1,22.14
medium_99,2,21.23,4,21.8,1,20.83
medium_100,0,20.78,1,20.45,1,20.69
hard_0,2,22.31,9,21.98,6,21.42
hard_1,5,21.01,7,20.78,5,21.78
hard_2,4,21.91,1,20.75,2,21.11
hard_3,1,21.9,4,21.2,1,21.38
hard_4,7,22.27,3,20.57,0,20.63
hard_5,5,21.11,5,21.33,3,22.13
hard_6,0,20.93,4,21.55,1,20.87
hard_7,3,21.32,1,20.42,7,22.58
hard_8,3,21.44,3,21.56,5,22.73
hard_9,2,21.07,1,21.57,2,21.15
hard_10,2,21.34,10,22.5,2,21.23
hard_11,4,21.48,3,21.14,3,21.44
hard_12,3,22.33,3,20.47,2,21.2
hard_13,3,21.58,2,20.44,5,23.4
hard_14,6,21.62,4,22.81,8,23.24
hard_15,0,21.43,0,20.54,0,20.69
hard_16,9,28.48,1,20.38,1,20.64
hard_17,6,22.57,5,20.93,4,23.24
hard_18,3,21.49,4,22.27,3,21.39
hard_19,7,22.9,3,21.39,7,22.21
hard_20,7,22.39,2,20.58,4,21.87
hard_21,3,22.36,3,21.26,7,21.32
hard_22,3,21.42,4,22.12,5,22.0
hard_23,0,21.74,4,21.28,3,21.7
hard_24,2,21.05,4,21.6,6,23.54
hard_25,5,22.75,3,21.13,1,21.33
hard_26,3,21.54,1,20.64,3,21.18
hard_27,3,21.56,2,20.99,4,21.49
hard_28,1,21.09,6,21.05,5,21.43
hard_29,4,21.53,4,21.79,3,21.13
hard_30,2,21.3,1,20.71,2,21.34
hard_31,7,22.27,2,20.94,3,21.73
hard_32,5,20.96,2,21.06,5,21.31
hard_33,1,21.04,4,21.06,1,21.09
hard_34,2,21.38,6,20.59,2,21.01
hard_35,4,35.29,0,21.08,4,22.34
hard_36,3,21.19,3,23.55,0,20.93
hard_37,3,21.69,5,20.67,1,20.82
hard_38,3,23.48,3,21.05,3,21.85
hard_39,1,21.17,5,20.96,3,21.54
hard_40,2,21.53,5,22.65,4,22.67
hard_41,6,22.02,0,20.67,1,21.43
hard_42,3,22.08,4,22.46,2,20.87
hard_43,5,21.7,2,20.44,0,21.01
hard_44,0,21.18,2,21.45,3,21.59
hard_45,1,20.96,3,20.7,0,20.93
hard_46,1,21.32,3,21.27,4,22.01
hard_47,2,21.28,1,21.2,0,20.89
hard_48,3,21.29,2,22.84,1,21.4
hard_49,5,21.82,4,21.33,6,21.55
hard_50,9,25.12,1,20.37,3,20.96
hard_51,3,21.32,0,20.3,0,20.74
hard_52,2,21.28,1,20.39,3,20.95
hard_53,3,21.85,1,20.83,6,23.0
hard_54,6,21.12,7,21.14,2,21.63
hard_55,1,21.7,5,21.25,2,20.92
hard_56,3,21.06,7,21.32,4,22.43
hard_57,3,21.18,5,21.97,2,21.1
hard_58,4,21.38,3,21.79,5,21.1
hard_59,4,21.25,2,21.01,5,22.31
hard_60,0,21.15,3,21.21,4,21.55
hard_61,1,21.08,3,21.88,1,21.5
hard_62,2,21.31,4,20.83,2,21.01
hard_63,2,20.86,3,21.51,3,21.53
hard_64,4,21.49,3,21.04,2,21.12
hard_65,3,21.33,6,21.43,2,21.29
hard_66,4,21.66,5,20.93,1,21.31
hard_67,1,21.16,0,20.54,2,21.71
hard_68,5,21.32,2,20.38,0,21.06
hard_69,4,21.72,3,20.78,2,21.01
hard_70,0,20.86,3,20.82,5,21.6
hard_71,0,21.18,2,20.63,6,22.66
hard_72,3,21.71,2,20.84,1,21.52
hard_73,1,21.06,8,21.16,2,21.2
hard_74,1,21.02,2,20.42,3,21.28
hard_75,1,20.88,3,20.75,5,21.4
hard_76,5,22.31,0,21.41,3,21.23
hard_77,1,21.21,2,21.22,0,20.85
hard_78,5,21.24,7,22.74,6,22.23
hard_79,1,21.12,1,20.58,0,20.92
hard_80,4,21.32,4,21.07,2,21.02
hard_81,3,21.52,3,21.22,2,21.2
hard_82,6,22.55,3,21.73,2,21.34
hard_83,1,21.11,8,21.06,2,22.36
hard_84,0,21.82,2,20.69,2,21.34
hard_85,1,21.02,2,20.63,1,21.58
hard_86,3,22.14,2,20.86,2,20.96
hard_87,2,21.9,6,21.05,2,21.04
hard_88,2,21.65,2,20.22,1,21.14
hard_89,2,21.61,1,20.9,2,20.92
hard_90,2,21.61,3,21.15,5,22.98
hard_91,3,21.36,0,20.87,5,21.96
hard_92,3,21.18,0,21.0,4,22.25
hard_93,7,23.78,1,21.09,0,21.02
hard_94,2,21.37,1,21.27,2,21.6
hard_95,4,21.85,2,21.13,3,21.08
hard_96,0,20.92,1,20.93,0,21.07
hard_97,4,21.59,4,21.34,0,20.97
hard_98,6,21.76,1,20.69,0,20.83
hard_99,5,24.0,1,20.35,1,21.02
hard_100,2,21.36,2,21.32,5,23.08
