medium_0,1,21.05,0,20.86,0,24.06
medium_1,0,24.15,2,22.56,1,23.05
medium_2,1,21.73,0,22.46,0,18.72
medium_3,3,23.15,0,21.04,0,22.79
medium_4,1,19.93,0,24.62,0,20.31
medium_5,0,20.52,1,20.22,0,21.35
medium_6,1,21.58,1,18.12,2,24.94
medium_7,0,20.2,0,23.95,0,21.5
medium_8,0,23.06,0,26.94,1,24.32
medium_9,0,21.25,1,21.2,0,21.87
medium_10,0,20.74,0,21.22,0,25.67
medium_11,2,22.61,0,20.53,0,20.9
medium_12,1,18.89,0,20.46,0,22.36
medium_13,0,20.99,2,22.7,1,20.26
medium_14,1,17.29,1,19.3,1,24.39
medium_15,2,19.73,1,25.23,4,26.84
medium_16,1,21.25,3,23.43,0,21.02
medium_17,2,24.5,1,19.19,0,24.0
medium_18,0,20.18,1,19.48,1,22.05
medium_19,0,26.82,0,20.98,1,23.92
medium_20,0,23.4,0,18.1,1,19.56
medium_21,2,26.58,2,23.22,2,22.11
medium_22,0,18.36,0,19.4,2,23.27
medium_23,0,16.4,0,16.58,0,22.87
medium_24,0,19.75,1,22.5,2,25.17
medium_25,1,21.72,0,20.34,0,20.93
medium_26,0,21.46,1,21.53,1,21.5
medium_27,0,21.99,1,20.17,1,22.92
medium_28,0,21.26,0,21.67,0,22.08
medium_29,3,20.81,1,19.87,1,20.06
medium_30,0,19.63,0,18.44,1,20.84
medium_31,0,19.12,1,25.57,1,22.1
medium_32,0,25.12,2,28.6,3,25.06
medium_33,1,18.96,0,18.52,0,20.37
medium_34,1,21.87,1,19.38,2,20.62
medium_35,0,17.51,0,18.09,0,20.06
medium_36,1,21.26,0,18.36,1,19.99
medium_37,0,26.44,1,22.89,0,21.24
medium_38,1,28.34,5,28.75,2,25.96
medium_39,1,17.12,1,19.88,0,20.18
medium_40,0,21.86,0,21.04,1,22.06
medium_41,2,20.49,1,20.81,1,23.13
medium_42,2,21.21,2,17.46,2,16.64
medium_43,1,21.46,3,26.09,2,22.62
medium_44,1,18.97,1,17.2,3,14.06
medium_45,2,21.79,2,23.02,1,20.01
medium_46,1,20.57,1,20.2,0,19.03
medium_47,1,18.74,1,24.84,0,19.06
medium_48,0,16.26,2,17.54,0,18.67
medium_49,0,23.57,2,25.76,3,25.03
medium_50,0,22.38,1,22.58,0,24.68
medium_51,0,22.14,0,20.65,1,22.22
medium_52,1,20.62,2,20.6,0,22.7
medium_53,2,23.61,1,25.05,1,22.45
medium_54,1,24.29,0,21.94,0,21.74
medium_55,1,17.4,0,18.7,0,20.22
medium_56,0,23.59,0,21.1,1,22.1
medium_57,1,22.73,0,23.63,1,22.58
medium_58,0,20.64,0,21.85,1,26.65
medium_59,0,22.06,2,17.82,1,15.01
medium_60,3,24.53,1,21.88,1,19.84
medium_61,4,22.72,1,23.77,1,28.71
medium_62,0,21.16,1,21.98,1,21.73
medium_63,1,29.35,0,23.69,1,23.53
medium_64,0,21.26,0,18.71,1,23.9
medium_65,3,27.08,1,16.87,1,18.03
medium_66,1,22.79,0,21.99,0,23.76
medium_67,0,18.66,2,19.0,4,20.4
medium_68,0,19.98,1,20.51,0,18.67
medium_69,1,19.84,0,23.68,0,20.72
medium_70,1,19.27,1,17.65,1,19.6
medium_71,1,21.64,0,22.43,1,20.56
medium_72,1,21.06,1,20.97,1,21.52
medium_73,1,30.92,0,20.2,1,29.74
medium_74,0,20.65,0,21.71,2,26.17
medium_75,0,19.78,0,22.7,1,20.27
medium_76,1,23.74,1,23.36,0,28.66
medium_77,0,23.23,1,22.08,2,20.95
