hard_54 | nmpc_short_controls_first_model_deep.pth,10,21.38,8,21.99,8,22.18
hard_55 | nmpc_short_controls_first_model_deep.pth,10,21.82,8,22.37,8,21.67
hard_56 | nmpc_short_controls_first_model_deep.pth,10,21.98,11,23.04,8,22.15
hard_57 | nmpc_short_controls_first_model_deep.pth,7,21.34,11,23.05,11,22.04
hard_58 | nmpc_short_controls_first_model_deep.pth,10,21.59,13,22.98,9,23.18
hard_59 | nmpc_short_controls_first_model_deep.pth,8,21.47,8,21.45,7,21.36
hard_60 | nmpc_short_controls_first_model_deep.pth,out-of-bounds,60,9,22.06,8,21.57
hard_61 | nmpc_short_controls_first_model_deep.pth,9,21.19,out-of-bounds,60,10,21.66
hard_62 | nmpc_short_controls_first_model_deep.pth,7,22.53,8,22.29,out-of-bounds,60
hard_23 | nmpc_short_controls_first_model_old_relu.pth,10,25.17,19,28.53,10,26.8
hard_24 | nmpc_short_controls_first_model_old_relu.pth,out-of-bounds,60,10,27.76,out-of-bounds,60
hard_25 | nmpc_short_controls_first_model_old_relu.pth,out-of-bounds,60,10,25.14,out-of-bounds,60
hard_26 | nmpc_short_controls_first_model_old_relu.pth,10,25.0,21,25.3,13,26.66
hard_27 | nmpc_short_controls_first_model_old_relu.pth,out-of-bounds,60,out-of-bounds,60,12,25.22
hard_28 | nmpc_short_controls_first_model_old_relu.pth,11,25.06,6,24.28,15,26.4
hard_29 | nmpc_short_controls_first_model_old_relu.pth,8,26.01,8,26.14,out-of-bounds,60
hard_30 | nmpc_short_controls_first_model_old_relu.pth,out-of-bounds,60,out-of-bounds,60,6,26.48
hard_31 | nmpc_short_controls_first_model_old_relu.pth,out-of-bounds,60,7,27.37,18,29.11
hard_32 | nmpc_short_controls_first_model_old_relu.pth,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
hard_33 | nmpc_short_controls_first_model_old_relu.pth,out-of-bounds,60,10,27.41,8,27.17
hard_34 | nmpc_short_controls_first_model_old_relu.pth,10,24.94,9,25.94,12,25.9
hard_35 | nmpc_short_controls_first_model_old_relu.pth,out-of-bounds,60,out-of-bounds,60,8,23.87
